4.099	5.9813439738042
4.183	5.9651239214387
4.267	5.9499565093908
4.351	5.935748267062
4.435	5.9224160649934
4.520	5.9097411292415
4.604	5.8979547302219
4.688	5.8868436764162
4.772	5.8763545005344
4.856	5.8664389922531
4.940	5.8570535793867
5.024	5.8481587936681
5.108	5.839718808001
5.192	5.8317010343249
5.277	5.823987248405
5.361	5.8167315782346
5.445	5.8098162164072
5.529	5.803218459272
5.613	5.7969174698004
5.697	5.790894093915
5.781	5.7851306978179
5.865	5.7796110235889
5.949	5.774320060721
6.034	5.7691847426149
6.118	5.7643129312854
6.202	5.7596310621674
6.286	5.7551280938502
6.370	5.7507937672051
6.454	5.7466185390753
6.538	5.742593522497
6.622	5.738710432721
6.706	5.7349615383929
6.791	5.7312972362919
6.875	5.7277969276789
6.959	5.7244104459376
7.043	5.7211318746003
7.127	5.717955666122
7.211	5.714876614363
7.295	5.7118898294568
7.379	5.7089907148276
7.463	5.7061749461483
7.548	5.7034063365117
7.632	5.7007461567656
7.716	5.6981577565891
7.800	5.6956377252658
7.884	5.6931828421988
7.968	5.6907900642342
8.052	5.6884565139664
8.136	5.6861794689394
8.220	5.6839563516654
8.305	5.681759168278
8.389	5.6796372803523
8.473	5.6775623430941
8.557	5.6755322743867
8.641	5.6735450971173
8.725	5.6715989328412
8.809	5.6696919958905
8.893	5.667822587891
8.977	5.6659890926566
9.061	5.6641899714293
9.146	5.6624029246011
9.230	5.6606685899163
9.314	5.658964419122
9.398	5.6572891423405
9.482	5.6556415476304
9.566	5.6540204778227
9.650	5.6524248275575
9.734	5.6508535405066
9.818	5.6493056067698
9.903	5.6477620302363
9.987	5.646258197179
10.07	5.6447924725805
10.15	5.64339796738
10.24	5.6418496683981
10.32	5.6404908981025
10.41	5.6389811298336
10.49	5.6376551842981
10.58	5.636180808416
10.66	5.6348850126688
10.74	5.6336025408234
10.83	5.6321750339946
10.91	5.6309191585255
11.00	5.6295203190816
11.08	5.6282888543608
11.16	5.6270681689134
11.25	5.6257072467749
11.33	5.6245080566272
11.42	5.6231702848355
11.50	5.6219907894818
11.58	5.6208199773807
11.67	5.6195127496719
11.75	5.6183592214031
11.84	5.6170705820975
11.92	5.6159328431208
12.01	5.6146611716156
12.09	5.613537833098
12.17	5.612420818594
12.26	5.6111713924545
12.34	5.6100669094977
12.43	5.6088309152724
12.51	5.6077377997283
